word,pos
為る,動詞
居る,動詞
有る,動詞
言う,動詞
無い,形容詞
成る,動詞
一,名詞
良い,形容詞
人,名詞
来る,動詞
物,名詞
見る,動詞
行く,動詞
方,名詞
時,名詞
出来る,動詞
二,名詞
三,名詞
中,名詞
所,名詞
分かる,動詞
自分,名詞
今,名詞
日,名詞
遣る,動詞
出る,動詞
十,名詞
二十,名詞
三十,名詞
前,名詞
聞く,動詞
五,名詞
五十,名詞
下さる,動詞
知る,動詞
入る,動詞
持つ,動詞
使う,動詞
内,名詞
四,名詞
四十,名詞
上,名詞
度,名詞
取る,動詞
置く,動詞
出す,動詞
家,名詞
手,名詞
話,名詞
時間,名詞
男,名詞
皆,名詞
万,名詞
顔,名詞
多い,形容詞
子供,名詞
掛ける,動詞
六,名詞
六十,名詞
教える,動詞
入れる,動詞
本当,名詞
八,名詞
八十,名詞
女,名詞
違う,動詞
作る,動詞
先,名詞
上げる,動詞
二人,名詞
七,名詞
七十,名詞
悪い,形容詞
百,名詞
二百,名詞
五百,名詞
三百,名詞
四百,名詞
六百,名詞
七百,名詞
八百,名詞
声,名詞
書く,動詞
一人,名詞
仕事,名詞
言葉,名詞
掛かる,動詞
下,名詞
買う,動詞
電話,名詞
母,名詞
九,名詞
九十,名詞
九百,名詞
店,名詞
頭,名詞
頃,名詞
高い,形容詞
意味,名詞
質問,名詞
食べる,動詞
問題,名詞
口,名詞
会社,名詞
今日,名詞
一緒,名詞
大きい,形容詞
切る,動詞
話す,動詞
零,名詞
飲む,動詞
父,名詞
欲しい,形容詞
早い,形容詞
帰る,動詞
先生,名詞
次,名詞
部屋,名詞
立つ,動詞
結婚,名詞
長い,形容詞
呼ぶ,動詞
待つ,動詞
会う,動詞
甘い,形容詞
風,名詞
外,名詞
開く,動詞
千,名詞
二千,名詞
五千,名詞
三千,名詞
四千,名詞
八千,名詞
六千,名詞
七千,名詞
九千,名詞
名前,名詞
読む,動詞
乗る,動詞
死ぬ,動詞
強い,形容詞
水,名詞
夜,名詞
側,名詞
少ない,形容詞
歩く,動詞
国,名詞
若い,形容詞
色,名詞
答える,動詞
見せる,動詞
終わる,動詞
道,名詞
忘れる,動詞
足,名詞
売る,動詞
走る,動詞
友達,名詞
学校,名詞
引く,動詞
テレビ,名詞
大学,名詞
困る,動詞
近く,名詞
住む,動詞
小さい,形容詞
開ける,動詞
覚える,動詞
山,名詞
働く,動詞
毎日,名詞
新しい,形容詞
病院,名詞
写真,名詞
寝る,動詞
家族,名詞
近い,形容詞
安い,形容詞
面白い,形容詞
耳,名詞
生まれる,動詞
座る,動詞
犬,名詞
難しい,形容詞
